City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fale old settlement,-9.3852,-171.2468,29.16,76,11,6.11,TK,1683610393
1,luebo,-5.35,21.4167,23.41,81,90,0.81,CD,1683610393
2,enewetak,11.3474,162.3373,27.47,82,100,7.19,MH,1683610393
3,berezovyy,51.6667,135.7,11.14,55,97,6.09,RU,1683610393
4,college,64.8569,-147.8028,12.18,33,40,4.63,US,1683610394
5,magadan,59.5667,150.8,9.74,66,83,1.26,RU,1683610394
6,albany,42.6001,-73.9662,9.7,68,81,1.99,US,1683610394
7,iqaluit,63.7506,-68.5145,-8.15,86,75,6.17,CA,1683610394
8,waitangi,-43.9535,-176.5597,15.46,93,96,4.47,NZ,1683610394
9,bethel,41.3712,-73.414,15.2,50,0,3.09,US,1683610395
10,caleta de carquin,-11.0925,-77.6267,21.83,87,73,4.76,PE,1683610395
11,port-aux-francais,-49.35,70.2167,6.6,99,93,7.46,TF,1683610396
12,daru,-9.0763,143.2092,25.79,92,100,6.45,PG,1683610396
13,salamanca,40.8333,-6.0,12.08,95,100,2.29,ES,1683610396
14,kibungo,-2.1597,30.5427,18.51,86,70,1.38,RW,1683610397
15,zaozersk,69.4005,32.4476,0.98,100,100,1.27,RU,1683610397
16,qaqortoq,60.7167,-46.0333,-0.17,97,100,2.69,GL,1683610398
17,port hedland,-20.3167,118.5667,32.03,15,0,5.66,AU,1683610398
18,mont-laurier,46.5501,-75.4993,2.79,56,6,1.36,CA,1683610398
19,ristiina,61.5058,27.2464,10.06,42,88,3.89,FI,1683610399
20,queenstown,-31.8976,26.8753,14.51,60,4,1.57,ZA,1683610399
21,correntina,-13.3433,-44.6367,22.44,61,86,1.27,BR,1683610399
22,makubetsu,45.3714,141.8211,11.84,47,20,9.26,JP,1683610399
23,palopo,-2.9996,120.1921,29.66,91,100,1.14,ID,1683610400
24,coquimbo,-29.9533,-71.3436,9.85,100,75,1.03,CL,1683609880
25,balancan,17.8,-91.5333,29.18,48,0,4.1,MX,1683610400
26,udachny,66.4167,112.4,5.25,69,100,10.0,RU,1683610400
27,vorgashor,67.5833,63.95,-0.22,100,100,5.4,RU,1683610401
28,margaret river,-33.95,115.0667,20.83,70,27,5.8,AU,1683610401
29,kavaratti,10.5669,72.642,29.3,62,98,4.3,IN,1683610401
30,puerto natales,-51.7236,-72.4875,2.44,93,13,1.55,CL,1683610402
31,upington,-28.4478,21.2561,10.21,50,0,1.54,ZA,1683610402
32,aasiaat,68.7098,-52.8699,-5.05,85,100,3.3,GL,1683609843
33,muisne,0.6,-80.0333,26.37,88,67,2.25,EC,1683610402
34,ghormach,35.7306,63.7826,26.7,16,0,1.0,AF,1683610403
35,ribeira grande,38.5167,-28.7,16.54,95,100,1.34,PT,1683610403
36,doka,13.5167,35.7667,33.35,14,16,6.63,SD,1683610403
37,mutum biyu,8.6333,10.7667,28.82,59,99,2.88,NG,1683610403
38,hermanus,-34.4187,19.2345,12.67,90,50,2.24,ZA,1683610404
39,aguada de pasajeros,22.385,-80.8508,23.51,83,11,3.02,CU,1683610404
40,flying fish cove,-10.4217,105.6791,29.82,79,75,5.14,CX,1683609834
41,tual,-5.6667,132.75,28.49,78,100,6.85,ID,1683610404
42,grytviken,-54.2811,-36.5092,-0.64,76,15,0.47,GS,1683610405
43,san luis de la loma,17.2706,-100.8939,27.59,69,13,1.63,MX,1683610405
44,roma,43.2128,-75.4557,7.71,84,0,2.06,US,1683609939
45,carnarvon,-24.8667,113.6333,24.2,68,30,4.94,AU,1683610406
46,tbeng meanchey,13.8167,104.9667,37.48,38,48,2.51,KH,1683610406
47,slave lake,55.2834,-114.769,11.99,76,100,1.03,CA,1683610263
48,tiksi,71.6872,128.8694,-4.55,71,90,8.67,RU,1683610406
49,bishops waltham,50.95,-1.2167,13.06,69,100,1.03,GB,1683610407
50,khandyga,62.6667,135.6,3.78,38,61,0.58,RU,1683610407
51,invercargill,-46.4,168.35,8.34,95,100,1.34,NZ,1683610271
52,port mathurin,-19.6833,63.4167,25.44,76,52,9.16,MU,1683610408
53,edinburgh of the seven seas,-37.0676,-12.3116,14.77,75,59,8.89,SH,1683610408
54,sitka,57.0531,-135.33,8.94,66,0,2.57,US,1683609820
55,castillos,-34.1667,-53.8333,11.55,84,0,3.48,UY,1683609832
56,puerto baquerizo moreno,-0.9,-89.6,26.19,89,37,3.76,EC,1683609746
57,hawaiian paradise park,19.5933,-154.9731,23.73,86,0,0.0,US,1683610409
